cleaned,classes
বাচ্ছা টিকে তার মা বাবার কাছে ফিরিয়ে দিলে অবশ্যই জানাবেন!!,fear
সব কয়টা গাজাখোর ,sadness
"চমক ভাই আসলে চমক এত সিনিয়ার,,আমার দেখে মনে হয় আয়মান ভাই বয়সে বড়।। ",joy
নিশো ভাইয়ের ফ্যন গুলা কই সারা দেও ,joy
ছোট ভাইটা কে আল্লাহু আপনি তাড়াতাড়ি সুস্থ করে দেন তার মুখের দিকে তাকিয়ে অনেক মায়া লাগতেছে...?,sadness
শুধু আইন করলেই কি চলে? আইন ভঙ্গের সংস্কৃতি থেকে আমাদের মুক্ত হতে হবে। আইন প্রয়োগে কঠোর অবস্থান নিতে হবে।,sadness
সাহসিকতার পরিচয় দিয়েছে ,joy
গতকালের প্রথম আলোতে এক বৎসরের সৌম্যের ব্যাটিং সফলতার পরিসংখ্যানটি পড়ে মন্তব্য করলে ভাল করতেন।,anger
সমস্ত কষ্টের গল্প আমার জীবনের সাথে মিলে যায়। আমি ওশ্বশুর বাড়ি থেকে কোনো সহযোগিতা পাইনি। চাকরিটা অনেক কষ্টে করেছি বাচ্চাদের নিয়ে।,sadness
দেহ গেলে তে সবও যাই রে...... ,anger
তিনি বিদ্বজন। তিনি বেঠিক কিছু বলতে পারেন না। তিনি নির্মোহভাবে সময়ের সঠিক কথাটি বলেছেন।,anger
এটা প্রতিবাদের ভাষা হতে পারে না।,sadness
ইলিয়াস কাঞ্চন যেদিন নিরাপদ সড়ক আন্দোলনের ঘোষণা দেন  সেই  অক্টোবর নিরাপদ সড়ক দিবস হিসেবে পালিত হয়ে আসছে  তাঁর গড়ে তোলা  নিরাপদ সড়ক চাই  এখন জাতীয় আন্দোলনে পরিণত হয়েছে ,surprise
"আলহামদুলিল্লাহ 
এবার বিজ্ঞান শিক্ষক হৃদয় মন্ডলের বিরুদ্ধে মিথ্যা মামলা প্রত্যাহার করতে হবে।",joy
আমার 😂😂😂বাৎলা গান ,joy
ভালোবাসার শেষ নিঃশ্বাষ ,anger
বিয়ে তো হলো। মেয়েটা স্বামীও পেল। কিন্তু বাচ্চাটা কি বাবা পেল? কারণ বাচ্চার জন্ম তো বিয়ের আগে।,surprise
আপনার ভাষার ব্যবহার দেখে বোঝা যাচ্ছে আপনি কোন ধরনের পরিবেশে অবস্থান করেন।,anger
সরকারের দেখে শিক্ষা নেওয়া উচিত,anger
কলেজ ও বন্ধ দোকানগুলো বন্ধ রাখা হোক। দোকান খোলা রেখে কলেজ বন্ধ অযৌক্তিক,anger
আমি বুঝতে পেরেছি আগামীকাল আমার তারকারা এবং গ্যালাক্সি ক্লাসে একটি পরীক্ষা আছে    ,surprise
সেহেতু গ্যারায়কে আনতে হত কেননা বিশ্বকাপে আমরা দেখেছি গ্যারায় ডেমিচেলিস জুটি। - রুল্লিকে অনেকেই চাইছেন ,joy
প্রথম ক্লাস তো তাই। আমি মাথায় হাত দিয়ে বসে পড়লাম। কিচ্ছু বুঝতে পারিনি। তিনি ব্যবহার করছেন গ্রুপ থিওরি ,anger
ভুতের মুখে রাম নাম ।,anger
এসব নাটকে মানুষ জানোয়ার হয়   মানুষ হয়না    একজন মায়ের সাথে এমন আচরন অমানবিক অমানুষিক  জানোয়ারের   এসব ধংসের  ভালোর নয়      ,anger
"মানবতার জয় হোক,,,,,,,,",joy
তহবিলের টাকা দিয়ে সরকার KFC and MCDখাচ্ছে,anger
এইটা কি মার্ডার? মার্ডার হলে তো এইরকম মানববন্ধন হয় না।সামান্য একটা ঘটনা। এই মেয়েদের বাবা- মা তাদের সঠিক শিক্ষা দেয় নাই। এরা এতই বেয়াদব। অবশ্যই তারাও খারাপ আচরণ করেছে। তা না হলে সে বলবে কেন বস্তির মেয়ে।,anger
রাজাকার একেই বলে,anger
কিশোর গ‍্যং নিয়ন্ত্রণে কঠিন ব‍্যবস্তা গ্রহণ করতে হবে সরকার না করলে সামাজিক ভাবে করতে হবে,anger
"ফিনিসিং এরো একটু ক্লিয়ার হওয়া দরকার ছিলো,, ওভার অল সবার অভিনয় লেভেল আপ ।  বিশেষ করে অপি করিম,  কোন ওভার এক্টিং না একদম নিখুত ।",disgust
 দিনের বেলা একা থাকা ভয় না করলেও রাতের বেলা  ভয় করত আর প্রথম চার দিন প্রাকৃতিক ডাকেও সাড়া দেয় নি ভূতের ভয়ে,fear
এই গানটা আমার জিবনে কতবার যে শুনসি নিজেও জানিনা. গানটা সুনলে চোখ দিয়ে অজোরে পানি ঝরে,sadness
আললহামদুলিলাহ,joy
"অনেক দিন পর একটা নাটক দেখলাম। আসলেই ছেলেরা নিজেকে রাজা ভাবে যা বলবে টিক তাই করতে হবে না হলে,,,,,,,,,,, সমাজটা কোন দিন পালটাবে না।",anger
ছাত্রলীগের গায়ে পড়ে হামলার বিরুদ্ধে তীব্র নিন্দা ও প্রতিবাদ জানাচ্ছি বাংলার সকল জনগণকে ছাত্রলীগের বিরুদ্ধে রুখে দাঁড়ানোর আহ্বান জানাচ্ছি,anger
আফসোস,sadness
আরে আপনারা কি জানেন না আমরা যে হুজুগের বাংলী আমরা তো কান দেখে বুঝি না যে কান কাটছে কিনা কেউ বল্লে হুদাই চিলের পিছে দৌরাই। আমি আজ থেকে 15 বছর আগে রিক্সা দিয়ে রমনার গেট-এ গেছি আর এখন হাইটা যাওয়া ও সম্ভব না। তাইলে বুইজালন সামনে 15 বছর পর প্যারাসুট দিয়া ও যাইতে পারবেন না। :),disgust
আমার দেখায় বাংলা সেরা গান হইছে ,joy
আমি যেদিন চলে যাব শান্ত মাটির নিচে   পাবে না আর খুঁজে আমায় হাজার লোকের ভিড়ে   কাদবে শুধু একা একা বুঝবে না তো কেউ   সুখ গুলো কেড়ে নিবে দুঃখের সেই ঢেউ ,sadness
অনেক দিন পরে অনরকম অভিনয়ে একটি নাটক পাইলাম।। নিজে হারিয়ে পেলাম।। আমি কি বলে লিখবো তা খুছে পাইনা। শুধু একটি কথা বলবো অসাধারণ ,joy
"নীল সালু সাহেব, নিজেকে বলদ প্রমান না করাই ভাল । ভাল করে পড়ুন । আমি আমার সকল বন্ধু এবং ভক্তদের কাছে আহ্বান জানাচ্ছি, যারা তাকে অনুসরণ করেন তারা তাকে ফেসবুক থেকে আনফলো/আনফ্রেন্ড করুন। সে একজন অপরাধীর হয়ে কথা বলছে যে আমাকে হত্যার চেষ্টা করেছিলো।",sadness
ভাই ওনি চ্যানেলের নাম বললেন সেটা কেটে দিলেন কেন এজন্য এ চ্যানেলকে ধোকা মনে হয়।,sadness
"ভালোবেসেছিলাম  একজন কে সবটুকু দিয়ে কিন্তু বিনিময়ে পেয়েছি অকল্পনীয় কষ্ট আঘাত😓😓তবে আমি তার খারাপ চাই না সে অনেক ভালো থাকুক সুস্থ থাকুক,,,,আমার ব্রেকআপ হইছে সারে তিন বছর হবে তাও আমি তাকে সেই আগের মতোই ভালোবাসি কিন্তু তার সাথে কথা বলতে পারি না আর বলতে পারি না জান রে তোমাকে অনেক ভালোবাসি সে যে আমাকে আর ভালোবাসে না😭😭😭😭😭😭😭আমি কখনো কল্পনাও করিনি সে আমাকে ঠকাবে,,,কি করবো সে আমার কপালে নাই ঠিকই কিন্তু তাকে আমি এখনো অনেক বেশি ভালোবাসি🙂🙂😭😭😭😭😭😭😭😭😭😭😭😭😭",sadness
নাম দেইখ্যাই টাস্কি খাইসেন কে কে?? ,surprise
রবেল হয় তো ভুলে গেছে যে সে একটা কালা পাঠা হেপি তকে পচন্দ করেছে তুই একটা খেলোয়ার তাই নয় তো হেপি তকে পা মুছার জন কাছে নিতনা গোলাপ ফুল পেয়েও হারালি কালা পাঠা ,sadness
এই ক্যামেরাটা কি এখনো আছে আপনাদের কাছে?? ,surprise
আসলেই আপনার এমন কাজ দেখলে মন খারাপ থাকলেও ভালো হয়ে যায় আমি সব সময় কিছু আশা করবো আপনার থেকে ,joy
আমার মনে হয় কলেজে যাওয়ার সর্বোত্তম অংশটি ঘরে ফিরে আসবে  lasmargaritas,surprise
আপনে যখন খান আর মুখে দিয়ে বলেন মুখটা চুককা করে বললেন ওয়াউ অনেক ভালো লাগে ,joy
ড্রাইভার এবং হেল্পার একটু ভয়পেলেও কিছু বললনা তারা বাসে উঠে এলো,fear
যারা এই রকম কাম করে তারাতো মানুষন না জনুয়ায,anger
আম্মুকে যেদিন ওটিতে ঢুকানো হয় সেদিন আব্বুকে জড়ায় ধরে কান্না করসি  আব্বুও কান্না করতেসিলো পুরাটা টাইম তবজি পড়সি ,sadness
সব পু‌লিশ ই হারামী নয় ভা‌লো ও অা‌ছে ।,joy
নিজের  ব্যক্তিগত সুখের  জন্য  যে  মানুষ  ধর্ম ত্যাগ করে  তাকে  সমর্থন করি না  । কেউ যদি ইসলাম ধর্ম ত্যাগ করে তখন মুসলিম রা কি তাকে সমর্থন করেন  ?,surprise
ভাই সাই লাক্সা গান তা ,joy
ধন্যবাদ সেই পুলিশ সদস্যকে যিনি এই মহান দায়িত্ব পালন করেছেন।,joy
ওরে মারার জন্য যা লাগে তাই দিব,anger
ওয়েন মরগান? সিরিয়াসলি ,surprise
প্রথম যেদিন তোমায় ভিডিও কলে দেখি বুকের ভেতর কেমন জানি চীন করে উঠলো 😳আর মনে মনে ভাবি কি হয়েছে আমার আমি কেন এমন করছি এই একটা লাইন ভাবতে ভাবতে সারাটা রাত করে দিলাম পার 🙂তবুও তুমি হইলা না আমার 🥲তোর দেওয়া ওই একটা ছবি যখন গ্যালারি থেকে বের করে দেখি 😌আর নিজেকে নিজে প্রশ্ন করি আসলেই কি সে আমার 🥹যদি অনুভূতিটা এমন হয় তবে সেই ভালোবাসার অনুভূতির উপর আমি খুন হয়েছি বহুবার 😭সবকিছু শেষ হলেও কিছু মানুষের প্রতি মায়া শেষ হয় না🤫 মিস করতে করতে চোখর পানি চলে আসে🥲 আফসোস তবুও বলতে পারিনা কতটা ভালোবাসি তোমাকে😌 মনের অজান্তে যে মানুষটাকে ভালোবাসি যাকে কোনদিন আপন করে পাবো না জানি 🙂সত্যি বলছি তবুও শুধু তাকেই ভালোবাসি বেঁচে থাকোক অনুভূতি সকল ভালোবাসা গুলা😌কোনো এক সময় ভাবতে ভাবতে ওনেক ক্লান্ত হয়ে জাবো 🤕তবুও অনুভুতি শেষ হবেনা কখনো তোমার প্রতি কষ্ট যতই হক আমি এখনো তোমাকেই ভালোবাসি 😘❤️ভালো থেকো প্রিয় তোমার নিজ ঠিকানায়💔🥀 দোলা💔🥹🥀নাদিম🥲,sadness
"এই হালারে যে হালায় পুলিশে চাকরি দিছে ঐ হালায়ও একটা বেহায়া, ওর বালের সরকারি কাজ!",anger
শাপ হয়ে দংশন করে উজা হয়ে ঝারে। সেদিন খালেদা জিয়ার বাসায় শেখ হাসিনা গিয়েছিলেন লোক দেখানোর জন্য। কিন্তু বেগম জিয়ার বাসার গেটে ১০দিন আগে থেকে তালা বদ্ধ করে রেখেছিলেন  পুলিশ লীগ,disgust
খুবি ভালো লাগলো ভাই?? ,joy
2030 জন্য   রেখে গেলাম ৷এই গানগুলোর অনুভূতি যে কতটা দাগ কাটে যাদের জীবনের সাথে মিশে আছে তারাই জানে,sadness
তোমাকে আজো ভুলতে পারিনি। তুমি এতটাই মনে  ধরেছিলে মুছে ফেলার আর সাওস হয়নি। তোমাকে ছাড়া আজও শুন্য লাগে। 🤍,sadness
প্রতিদিন কত সাধারন মানুষের ছেলে-মেয়ে মারা যায় তাদের কষ্ট সরকার বুঝে না। আর সেটি যদি নিজের বেলায় ঘটে তা শুধু সরকার বুঝে।,anger
আম্পায়ার কে নিশ্চই শুয়ার চুদিছিলো ,sadness
"কিছু ভুল মানুষকে, অনেক কিছু শিখিয়ে দেয়। কিছু কষ্ট মানুষকে, পাথর করে দেয়। কিছু অভিমান মানুষকে, অনেক পর করে দেয়। আর কিছু বাস্তবতা মানুষকে অনেক বদলে দেয়,.......।",sadness
"এই জজের বিচার না হলে শ্রেণিবৈষম্য কি পর্যায়ে চলে গেছে তা বুঝা যাবে। প্রকৃত জজ হলে স্কুলে এসে হয়ত সবার সামনে মেয়েকে বলতেন, তুমি স্কুলে জজের মেয়ে কেন পরিচয় দিলে????",disgust
গালি টা যে দিবো তাও ওর মতো নিকৃষ্ট ছেলের জন্য বের হচ্ছে না..বাবা মা কে কষ্ট দেওয়ায় ফল আল্লাহ দুনিয়াতেই ওরে দিবে...,anger
অসাধারন নাটক কি বলবো ভাষা হারিয়ে ফেলেছি। ,joy
অসাধারণ কাজ,joy
হাজার বার ঝগড়া লেগেছে । কিন্তু কেউ কোনোদিন কাউকে ছেড়ে যায়নি।  ৩ বছর এর মত হতে চললো আমাদের রিলেশন এর।,surprise
যা বুঝলাম মেয়েটা বি এন পির দালাল মিডিয়ার সামনে নির্বাচনকে প্রশ্নবিদ্ধ করার পায়তারা করছে ,sadness
পাপ। »ধর্ম শিখাচ্ছ না?থাক তোমার ধর্ম নিয়ে। »প্লিজ রাগ করনা ,anger
"আমি একটা জিনিস বুঝি না,যারা থ্রিলার মুভি বুঝে না তারা শুধু শুধু থ্রিলার মুভির এক্সপ্লেনেশন ভিডিও দেখে ডিস লাইক দেয় কেন?",surprise
"আবারও বিএনপি, আবারও ঘটনা ভিন্ন খাতে নিয়ে প্রকৃত দোষিদের আড়াল করার চেষ্টা!!",disgust
"চার বছর সম্পর্ক,আজ কল দিয়ে বলে আমার ফ্যামিলি গত বাবা মা পছন্দ করে বিয়ে দেয়।কথা টা শুনে পায়ের নিচে মাটি গুলো সরে গেল😭😭",surprise
ছেলে মেয়েদেরকে ছোট বেলা থেকে ইসলামিক শিক্ষায় শিক্ষিত না করলে প্রতিটা বাবা মায়ের এমন করুন পরিনতি ভোগ করতে হবে এটাই ব্যাস্তবতা।,disgust
"গ্রামবাসীর ধাওয়া, গণপিটুনিতে নিহত দুই ডাকাত",surprise
ভাই সারকাজম বুঝার মতো ঘিলু না থাকলে এভয়েড করো কুত্তার মতো ঘেউ ঘেউ করবা না ,anger
তোমাকে পেয়ে গেলে এত সুন্দর গানটা শুনা হতো না সৃতি রেখে গেলাম যুগের পর যুগ এসে মনে করবো😢😅,sadness
"সরকার সাধারণ মানুষের উপর নিরব অত্যাচার করছে, তার ছোট নমুনা বাজারে গেলে বুঝা যায়",sadness
"তারা সেটা দেখাবে কেন??
এরা তো বাম পন্থি মিডিয়া",anger
 এতে দুর্ঘটনার আশঙ্কা করছেন গ্রামবাসী।,fear
ভাবি আপনি কোন চিন্তা করবেন না। সত্যের পথের যোদ্ধাদের এমন অনেক ষড়যন্ত্রের শিকার হতে হয়।,fear
না হেসে পারলাম না ,joy
আজ আমার প্রিয় মানুষটির বিয়ে হয়ে গেল 😭😭 কাকে কষ্টের কথা বলবো 😔 ভেবে পাচ্ছিলাম না খুব কষ্ট হচ্ছে   জোরে কাদতে পারছি না 😭😭😭😔😔 তাই কমেন্টে জানিয়ে গেলাম  খুব ভালো বাসি তোমাকে 😔😔😔 হারিয়ে ফেলেছি তোমাকে 😭😭,sadness
জাকিয়ার কথায় চিন্তায় পড়ে গেলাম  এই সময় এখন টাকা পাবো কোথায় ,fear
ইস! গরলের উদগীরণ।,sadness
ইয়েস আমিও ১১ পেয়েছি। খুব এনজয় করছি ভিডিওটি ,joy
এটা সম্পূর্ণ আমার জীবনের কথা।তবে নাটকে অনন্যা চৌধুরী জিতে গেলেও। আমার পক্ষে কতোটুকু সম্ভব ?আদৌ কি সম্ভব?,fear
এই সব উকিলকে সবাই চিনে রাখ। সে যেন কখনো কোন মামলা না পায়।টাকায় বিক্রি হয়,disgust
প্রতিটা যায়গায় মানুষের পাসে যদি মানুষ দারাতো এই বাবে মানুষ খুন হতুনা  প্রতারিত হতুনা মানুষ  যদি মানুষকে সাহায্য  করতু তা হলে এত মানুষ  হতু না,disgust
আল্লাহ তাজেল ভাই কে অনেক মনোবল দিয়েছে এখন আল্লাহর কাছে প্রার্থনা করি যেনো তাজেল ভাই কে সম্পূর্ণ সুস্থ করে দেয়।,sadness
আজ এক দিনের নরক হতে চলেছে  lol  teamfollowback,surprise
গানটা রিলিজ হওয়ার পর থেকেই কেনো জানি না অনেক ভালো লাগতো গানটা বারবার শুনতাম এখন সেটা বাস্তবতা। সর্বোচ্চ চেষ্টা করেও তাকে পাইনি আর পেতেও চাই না কারন সে এখন অন্য কারো।  আমার সাথে এমন কিছু ঘটবে আমি কখনো কল্পনা করতে পারিনি। তবে এক্ষেত্রে তার আমার কোনো দোষ নেই তার বাবা মা জোর করে বিয়ে দিয়ে দিছে আমার সাথে সে চলে আসতে চেয়েছিল কিন্তু আমি ২০২৩ এইস এস সি পরীক্ষাথী হওয়ায় তাকে আপন করে নিতে পারিনি। তাতেও কোনো সমস্যা ছিল না কিন্তু তার বাবা মা এমন জায়গায় বিয়ে দিছে তার স্বামী তাকে অনেক নির্যাতন করে। 😢😢😢😢আমাদের সাথে যেটা হয়েছে এমন জানি আর কারো সাথেই না হয়। সবাই তার জন্য দোয়া করবেন যেন তার স্বামীর নির্যাতন থেকে রক্ষা পায়।।,sadness
শুভ জন্মদিন   স্লোবওয়েটস এবং   জ্যাচ লে  আমি দুজনকে দেখতে পেয়ে খুশি হলাম  আমি আশা করি আপনার সুন্দর দিনটি কেটেছে   ChickfilA,surprise
"ভাই বুঝলাম না পুলিশ কর্মকর্তা বল্ল সরকারী কাযে বাধা দিচ্ছেন, সরকার কি উনাকে বলছে রাস্তায় মানুষ মেরে হলেও দ্রুতার সাথে সরকারী কাজে লিপ্ত হতে হবে, আমরা জানি সরকার এমন টা বলে সেটা হল সময়ের চেছে জীবনের মূল্য বেশি।",surprise
"ভালোবাসার মানুষটাকে সবসময় যে পেতে হবে এরকম কিছু নাই, আমাদের আশেপাশে এরকম অনেক মানুষ আছে, যারা ভালোবাসার মানুষটাকে না পেয়ে তার সৃতি গুলা বুকে নিয়ে বেছে আছে,,😢",sadness
এই হলো বাংলাদেশের অবস্থা😟জজের মেয়েকে নয় বরং আমি বাংলাদেশের সকল শিক্ষা প্রতিষ্টানের উপর কঠিন চাপ এবং বেছে বেছে কিছু শিক্ষককে শাস্তি প্রদানের জন্য আবেদন করছি।কেননা বাংলাদেশের এই অবস্তার জন্য একমাত্র শিক্ষকরা দায়ি বলে মনে করি,disgust
তাদেরকে পর্যাপ্ত শাস্তি দেন।এতে দেশ কলঙ্ক মুক্ত হবে,anger
লাইন চেক করে :) আর আমাদের দেশে ইলেক্ট্রিসিটি চলে গেলে ,anger
"এখনো তোমাকে অনুভব করি 💔💔।।।৩ বছর হয়ে গেলো তোমার সাথে কোন যোগাযোগ নেই।। বিলিভ করো,,এখনো তোমায় প্রতিটা  নিস্বাসে মনে করি।। তোমার স্মৃতি গোলো কখনো ভুলার নয়।।",sadness
এমন সাহস কইটা মেয়ের আছে? আমাদের কোথাও কোনো নিরাপত্তা নেই।কখন কে যে বিপদে পরি কেও জানিনা।কোন দেশে যে বাস করছি!! ও আল্লাহ তুমি আমাদের রক্ষা করতে পারো।এমন প্রতিবাদ করার জন্য তোমাকে ধন্যবাদ।,fear
অচিন পুরের রাজপুএ ,joy
আলহামদুলিল্লাহ সুপার উদ্যোগ,joy
"কপাল ভালো ম্যাজিস্ট্রেট এখনো ভদ্র ভাবে সকলের সাথে কথা বলছেন, আর স্কুলের সকল স্টুডেন্ট এর সাহস কত বড় হয় একজন ম্যাজিস্ট্রেট এর সাথে এমন উচ্চস্বরে কথা বলে, ঐ মেয়ের আইডিয়া ও নেই সে কি করছে, এই ঘটনা ঠান্ডা হলে তাদের কি হবে হুশ নেই, আর সব থেকে বড় কথা ম্যাজিস্ট্রেট তো আর বলেন নি যে এসে তার পা ধরতে, দেশের শিক্ষাঙ্গনের এমন অবস্থা হলে আর কয়দিন পরে দেশের স্কুল থেকে আর শিক্ষার্থী বের হবে না, সন্ত্রাসী বের হবে, এই জন্য ক্যাডেট আর সাধারণ স্টুডেন্ট এর ভেতর পার্থক্য আছে।",anger
সাংবাদিক ভাইরা দুই তিন জন চেচরা জনগণ নিয়ে তারা বলতেছে জনগণ না কি নির্বাচন নিয়ে অনেক খুশি 😆😆😆😆,disgust
ওরে বাটপার 😮 ,sadness
যার কেউ নাই তার আল্লাহ আছেন,joy
"ভাই সত্যি আসাধারন হইচে,,, আর আমিও তোমাকে বলেচি গান চাড়া এজটা মেচ দেও,,দিয়েচো,,, ওনেক ওনেক ধন্যবাদ ",joy
দেশের সাধারণ মানুষের ভয়াবহ অবস্থার জন্য আওয়ামীলীগ সরকারের প্রধানমন্ত্রী শেখ হাসিনা দায়ী কাজ নেই টাকা উপার্জন করতে পারি না মানুষের মৌলিক অধিকার হরণ করা গণতন্ত্র ধ্বংস কারী মানবাধিকার লঙ্ঘন কারী দুর্নীতি মাধ্যমে টাকা পাচার কারী দের বিচার বাংলার মাটিতেই হবে ইনশাআল্লাহ আওয়ামীলীগ সরকারের পতন হবে খুবই লজ্জা জনক ভাবে পালাবার পথ খুঁজে পাবে না ইনশাআল্লাহ মিথ্যাবাদী দের বিরুদ্ধে প্রতিবাদ অব্যাহত আছে,anger
ভাই অনেক কষ্ট করেছেন। আল্লাহ্  আপনার  মংগল করুক। আপনার জীবন থেকে অনেককিছু শিখার আছে। এগিয়ে যান ফিআমান্নিল্লাহ,joy
"সিনেমায় সাবানার সেলাই মেশিন চালিয়ে গারমেন্টস এর মালিক হয়ে জাওয়ার দেখেছি সবাই,ববি আপু সাবানার সেই চরিত্র কে বাস্তবে রুপ দান করেছেন।অনেক কিছু সেখার আছে এই ভিডিও থেকে।ধন্যবাদ স্টুডিও অব ক্রয়েটিভ আর্টস আপনাদের এই ধরনের প্রগ্রাম আমাদের উপহার দেওয়ার জন্য।",surprise
"সবাই ঢুকলে প্রবলেম। তার মানে পকেট ভারীওয়ালারাই এখানে সভ্য ও নিরাপদ বলে বিবেচিত হবে? ""ফকির প্রবেশ"" না হয় মেইন রোড থেকে বন্ধ করে দেয়া হল।",sadness
চারকোণা ঘাসের ঘর প্রস্তুত| ব্রাজিল ,joy
কি বালছাল শুরু হইলো ,sadness
"এই মুস্তাফিজ আজ আর নাই। বাংলাদেশ একটা রত্ন পেয়েছিলো। কিন্তু,রাখতে পারলো না।😪😪😪 ",anger
উনার জায়গা রাস্তায় ও নাহ!! উনি বাংলাদেশী হলে উনার সাথে শ'খানেক পুলিশ ,sadness
অসাধারণ লেগেছে 👌👌👌 ,joy
ভাই এই ড্রোন কতো কিলোমিটার যাবে ,surprise
"আচ্ছা এরা তো খুনি না। এরা তো পরিবেশ  নস্ট করছে না, তাহলে এই ভালো মানুষ গুলোকে কেন পশু বানিয়ে রাখছে।আর যারা মানুষ খুন করছে, চুরি, ছিন্তাই, গুন্ডামি করছে, তাদের কে জেল থেকে ছেরে দিচ্ছে, এটাই কি মানুষের বিচার। পাগল না হয়ে ও পাগলা গারদে।",disgust
যে আসরের (ফরয) নামাযের পূর্বে চার রাকআত (নফল) নামায পড়ে থাকে।” হাদীসটি ইমাম আহমাদ ,joy
করোনাভাইরাসে  কোভিড   আক্রান্ত হয়ে এশিয়ার বাইরে এই প্রথম একজনের মৃত্যু হয়েছে  এই রোগে ফ্রান্সে এক চীনা পর্যটকের মৃত্যু হয়েছে বলে নিশ্চিত করেছে ফরাসি সরকার ,fear
কতটা তেলবাজ হলে একথা বলে,anger
তার কথ শুনে হল তিনি শারীরিক ও মানসিক ভাবে একজন সুস্থ মানুষ। উনাকে অসুস্থ বানিয়ে সাত মাস নির্যাতন করা হল।,disgust
আজ রাতে শুয়ে আছি হঠাৎ গানটা মনে পড়লো।কে কে ২০২১ এ আইসা ও গানটা শুনেন,surprise
আমি আর সহ্য করতে পারলাম না অজ্ঞান হয়ে পড়ে গেলাম সেখানেই তারপর কি হলো আর কিছু মনে নেই,fear
"আমার   জান  টারে  অনেক   ভাল বাসি  ,  আর   তারে ছারা থাকতে  পারি না বলে  ,     এপ্রিল এ  বিয়ে করে  ফেলছি ,    তার  একটা   বড় সমস্যা  আছে  সবাই   দোয়া করবেন  , , প্রিয়া মানুষের  সাথে  যেন সারা জীবন থাকতে  পারে",sadness
উনি যেভাবে কথা বলতেছে মনে হয় উনি জনগনের বিপুল পরিমান ভোট পেয়ে ক্ষমতায় এসেছেন  নির্লজ্জ কোথাকার,anger
"অভিযোগ থেকেই অভিমান সৃষ্টি হয় 🥺 কেন জানিনা তোমার সঙ্গে খুব মিল খুজে পাই আমার 😌🌻, সব মানুষই বেইমান নয় , ছেড়ে যেওনা ❤️",sadness
"এখানে যারা কমেন্ট করেছে হয়তো তাদের পরিবারের কোন একজন এমন কালচার ধারন করছে।তাই বলবো যে, যে অস্থানে আছেন সকলেই নিজ পরিবারকে সঠিক শিক্ষাদান করূন তাতেই এসব কুলাঙ্গারদের  নিয়ন্ত্রণ করা যাবে।",disgust
উন্নয়ন অব্যাহত রাখতে নৌকা মার্কায় ভোট দিন। ,joy
ফাঁসি দেওয়া হোক সালাদেরকে ,sadness
ওনি শিক্ষক নামের কলঙ্ক,anger
জেলে আরও অভিজ্ঞতা সম্পন্ন মাদক কারবারি আছে। তাদের সহযোগিতায় এরা আরও পাকা মাদক ব্যবসায়ী হয়ে উঠবে। পসার বৃদ্ধি পাবে। একারণেই চিল মুডে আছে।,fear
তার বয়স কম বুজলাম তাইলে এতো কম বয়সে এতো ছেলের সাথে সুইছে কেমনে খানকির পোলা,disgust
দেশের মানুষ বিচার চায় না রাজাকার চায়।,disgust
"প্রতিদিন যেহেতু গানটি শুনি , কমেন্টটি রেখে গেলাম , এরপর লাইক দেখে বুঝে নিবাে ... কতজন গান শুনতে এসে কমেন্টটি পড়ে গেল❤❤❤❤",disgust
জনাব শফিক সাহেব একজন সাংবাদিক তার চাইতে বড় কথা সে একজন ভাল উপাসতাপকও লাল গোলাপ এর,joy
আজকে রাতে শহর থেকে ক্যাম্পাসে ফিরার সময় মাতামুহুরি বাসে আমার একটা ব্যাগ ভুলে ফেলে এসেছি  ব্যাগটি  এর ছিলো ব্যাগে কিছু কাপড় এবং একটি খাতা ছিল  যদি কেউ পেয়ে থাকেন তাহলে জানানোর জন্যে অনুরোধ করা হলো ,sadness
"আসসালামুআলাইকুম ওয়ারাহমাতুল্লাহি ওয়াবারাকাতুহ, ধন্যবাদ জানায় কিবরিয়া ভাই কে, যে আল্লাহ তাআলার প্রিয় ব্যক্তি গুলো কে ভালোবাসে ,আল্লাহ তাকে ও ভালবাসেন, আপনার জন্য দীর্ঘায়ু কামনা করছি,আল্লাহ আপনার পরিবারের উপর শান্তি স্থাপন করুন আমীন।",joy
মামা ভইরা দে একদম ভইরা দে😂😂😂 কে কে দেখছেন এই ডাইলগ টা😘😘 ,joy
"কিভাবে যে বেচে আছি এটাই বুঝতে পারছি না, তোমাকে ছাড়া বেচে থাকা অসম্ভব হয়ে পরেছে, ময়না পাখিটা, সুখি হও।😢❤",sadness
উনি যাচ্ছেন লিখিত বক্তব্য পাঠ করতে।,sadness
আইস স্কেটিং সাবস্ক্রিপশন    দিনের জন্য কেবল কয়েক দিনের জন্য উপলব্ধ    তাই   ইজসবাহানহরেনের সাথে দ্রুত থাকুন,surprise
তে এ সংবাদ এখন কেন রে আবাল।।।।🤣🤣🤣 ,sadness
 Keihard aan t hobbyen  stoeien met lijm  dozen  rubber  amp  papier voor  n kinky voor Kinky Klaas  amp  Sado Piet zaterdagavond   p ,surprise
খুবই দুঃখজনক কবে যে সমাজ পরিবর্তন হবে । এরাও মানুষ আল্লার সৃষ্টি । কোন ফ্যাক্টরির তৈরি পণ্য নয় ।,sadness
