cleaned,classes
"আজ বেশ কিছু গুরুত্বপূর্ণ কাজ অসমাপ্ত থেকে গেল, খুব মন খারাপ। মনে হচ্ছে কিছুই সফল হচ্ছে না, একের পর এক ব্যর্থতা আসছে। সব কিছু ঝাপসা হয়ে গেছে, আমি কিছুই দেখতে পারছি না।",sad
"আজ অনেকক্ষণ ধরে একা বসে থাকলাম, মনটা বেশ ভারী ছিল। ভাবছিলাম, কখনো কিছু যেন বদলাবে, কিন্তু কিছুই পাল্টায় না। কিছুতেই মনে শান্তি আসছে না, আমি শুধু একা হয়ে গেছি।",sad
"আজকের দিনটা খুবই নিরানন্দ, কিছুই ভালো লাগছে না। আমি কিছুতেই কোন সিদ্ধান্ত নিতে পারছি না, মনে হচ্ছে আমি ভুল পথে চলছি। দিনের পর দিন শুধু হতাশা বেড়েই চলেছে।",sad
"আজ আমার প্রিয় জিনিসটা হারিয়ে ফেললাম, মনটা খুব খারাপ হয়ে গেল। কিছুতেই সান্ত্বনা পাচ্ছি না, সব কিছু একদম আলাদা হয়ে যাচ্ছে। আজকের দিনটা দুঃখে ভরপুর ছিল।",sad
"আজ কিছু কথা মনে পড়লো যা বলার ছিল, কিন্তু বলতে পারলাম না। মনে হচ্ছে অনেক কিছু অসমাপ্ত রয়ে গেছে, কিছুই শেষ হয়নি। আজকের দিনটা যেন অসম্পূর্ণ, শুধু এক ধরনের বিষণ্ণতা রয়েছে।",sad
"আজকে অনেক অপ্রত্যাশিত ঘটনায় মনটা একদম ভেঙে গেছে। ভেবেছিলাম সব কিছু ঠিক হয়ে যাবে, কিন্তু দিন শেষে শুধু খালি হাতে ফিরলাম। এখন মনে হচ্ছে আমি কখনোই নিজের লক্ষ্য অর্জন করতে পারব না।",sad
"আজ আমি কিছু পুরোনো ছবি দেখলাম, খুব খারাপ লাগলো। মনে হলো, সেই ভালো সময়গুলো আর ফিরবে না। আজকের দিনটা অনেকটাই পেছনে ফিরে যাওয়ার মতো ছিল, সব কিছু একদম অন্ধকারে রয়ে গেছে।",sad
"আজ একটা বড় সিদ্ধান্ত নিতে গিয়ে অনেক দুঃখ পেলাম, মন একদম ভারী হয়ে গেল। ভাবছিলাম যে, এই সিদ্ধান্তে কিছু ভালো কিছু হবে, কিন্তু কিছুই হলো না। দিনটা কেটে গেল একটানা চিন্তায়, মনে শান্তি পেলাম না।",sad
"আজ অনেক চেষ্টা করলাম, কিন্তু কিছুই সঠিকভাবে কাজ করলো না। সব কিছু যেন একে একে ভেঙে পড়লো, খুব খারাপ লাগছে। আজকের দিনটা শুধু হতাশা আর বিষণ্ণতায় ভরে গেছে।",sad
"আজ খুব মন খারাপ ছিল, কিছুতেই কিছু ভালো লাগছিল না। সব কিছুই খুব মনোযোগ দিয়ে করতে চেয়েছিলাম, কিন্তু কিছুই সঠিকভাবে হয়নি। কিছুতেই শান্তি পাচ্ছিলাম না, দিনটা একেবারে ভারী হয়ে গিয়েছিল।",sad
"আজ কিছু ভুলের কারণে অনেক কষ্ট পেয়েছি, খুব মন খারাপ। মনে হচ্ছে কিছু সঠিক পথে চলবে না, সব কিছু ভুল হয়ে যাবে। দিনটা একদম একাকীত্ব আর বিষণ্ণতার মধ্যে কেটেছে।",sad
"আজকের দিনটা খুবই অবিশ্বাস্যভাবে বেদনাদায়ক ছিল, কিছুই ভালো লাগছিল না। মনে হচ্ছে কিছু ভালো কিছু আর আসবে না, সব কিছুই অন্যভাবে চলেছে। আমার মনটা খুবই ভারী, কিছুতেই শান্তি পাচ্ছি না।",sad
"আজকের দিনটা অনেকটাই বিষণ্ণ, একেবারেই সুখী অনুভব করছি না। একে একে সব কিছু মেঘে ঢাকা পড়েছে, কিছুই পরিষ্কারভাবে দেখা যাচ্ছে না। আজ মনটা খুবই ভারী ছিল, কিছু ভালো কিছু হয়নি।",sad
"আজ একজন প্রিয় মানুষকে হারিয়েছি, মনটা খুবই খারাপ হয়ে গেছে। একে একে সব স্মৃতি ফিরে আসছে, কিন্তু কিছুই আর আগের মতো নেই। আজকের দিনটা পুরোপুরি দুঃখে ভরা ছিল।",sad
"আজ খুব খারাপ লাগছে, কিছুই ঠিকভাবে হচ্ছে না। মনে হচ্ছে কিছু ভালো কিছু আর হবে না, সব কিছু নিঃশেষ হয়ে গেছে। আজকের দিনটা এক ধরনের হতাশায় কাটলো।",sad
"আজ পুরোদিনটাই অদ্ভুতভাবে নিস্তেজ ছিল, কিছু ভালো লাগছিল না। সব কিছু একে একে ম্লান হয়ে যাচ্ছে, মনে হচ্ছে আমি একা। আজকের দিনের সব কিছুই বিষণ্ণতা দিয়ে পূর্ণ ছিল।",sad
"আজ আমি অনেক সময় ধরে একা বসে ছিলাম, মনে হলো কিছু আর ঠিকভাবে হবে না। সব কিছু যেন এক ধরনের ধোঁয়াশায় পড়ে গেছে, কিছুই পরিষ্কার মনে হচ্ছে না। দিনটা শুধু হতাশায় কাটল।",sad
"আজ আমি একরকম হারিয়ে ফেলেছি, কিছুই কাজ করছে না। মনে হচ্ছে আমি যতই চেষ্টা করি না কেন, কিছুই পরিবর্তিত হচ্ছে না। দিনটা কাটল এক ধরনের নিঃসঙ্গতার মাঝে, একদম মুষলধারায়।",sad
"আজ আমার অনেক কাঙ্ক্ষিত সাফল্য ব্যর্থ হয়েছে, মনটা খারাপ হয়ে গেল। অনেক কিছু করার পরও কিছুই হয়নি, আর কিছু ভালো লাগছে না। দিনটা শুধু কষ্টে ভরপুর ছিল।",sad
"আজ অনেক প্রিয় কিছু জিনিস হারিয়েছি, মনটা খুব ভারী। মনে হচ্ছে জীবনে কিছুই স্থায়ী নয়, সব কিছু একে একে চলে যাচ্ছে। আজকের দিনটা শুধু ক্লান্তি আর দুঃখে ভরা ছিল।",sad
"আজকের দিনটা খুবই বিষণ্ণ, কিছু ভালো লাগছে না। একাধিক সমস্যা সামনে এসেছে, মনে হচ্ছে কিছুই সমাধান করা যাবে না। দিনটা কাটল এক ধরনের হতাশায় ভরপুর।",sad
"আজ অনেক দিন পর আবার পুরোনো কিছু স্মৃতি মনে পড়ল, মনটা ভারী হয়ে গেল। কিছু কিছু মুহূর্ত শুধুই স্মৃতি হয়ে থাকলো, আর কিছুই বদলানো সম্ভব নয়। আজকের দিনটা নিঃসঙ্গতায় কাটলো।",sad
"আজ কিছু খুব খারাপ খবর পেলাম, মনে হচ্ছিল কিছু ভালো কিছু আর আসবে না। সব কিছু যেন একধরনের অন্ধকারে ঢাকা পড়েছে। আজকের দিনটা দুঃখে ভরপুর ছিল।",sad
"আজ আমি কিছু বড় ভুল করেছি, খুব খারাপ লাগছে। মনে হচ্ছে আমি সবকিছু ভুল করে ফেলেছি, কিছুই সঠিকভাবে কাজ করছে না। দিনটা কাটল একরকম বিষণ্ণতায়।",sad
"আজকে একটা কঠিন সিদ্ধান্ত নিতে গিয়ে অনেক কষ্ট পেলাম, মনটা ভারী হয়ে গেল। মনে হচ্ছে কিছু কিছু পরিস্থিতি আসলেই আমাদের নিয়ন্ত্রণের বাইরে চলে যায়।",sad
"আজ বেশ কিছু পরিত্যক্ত কাজ মনে পড়লো, খুব খারাপ লাগলো। মনে হলো আমি আর কিছুই পরিবর্তন করতে পারব না, সব কিছু নিষ্প্রভ হয়ে গেছে।",sad
"আজ কিছু একটা হারিয়েছি, মনটা খুব খারাপ হয়ে গেছে। মনে হচ্ছে সব কিছুই হারিয়ে যাচ্ছে, আমি কিছুই পেতে পারছি না।",sad
"আজকের দিনটা একটু বিষণ্ণ, খুব ভালো কিছু ঘটলো না। মনে হচ্ছে কিছুই বদলাবে না, সবাই নিজস্ব পথে চলে যাচ্ছে।",sad
"আজ আমি মনে করেছি, কিছু পরিবর্তন হবে, কিন্তু কিছুই ঘটলো না। সব কিছুই আগের মতোই, অনুভূতি কিছুই বদলালো না।",sad
"আজ বেশ কিছু ভুলের জন্য মনটা খুব খারাপ হয়ে গেছে। আমি কিছুতেই নিজেকে ক্ষমা করতে পারছি না, মনে হচ্ছে আমি পুরোপুরি ব্যর্থ।",sad
"আজ কিছু ভুলের জন্য আমি অনেক কষ্ট পেয়েছি, মনটা দুঃখে ভরে গেছে। মনে হচ্ছে কিছু ঠিক হবে না, আজকের দিনটা শুধু কষ্টের ছিল।",sad
"আজ কিছু হতাশাজনক ঘটনা ঘটলো, মনটা খুব বিষণ্ণ হয়ে গেছে। মনে হচ্ছে সব কিছু উল্টে যাচ্ছে, আমি কিছুতেই শান্তি পাচ্ছি না।",sad
"আজ একা একা থাকতে থাকতে অনেক কিছু বুঝতে পারলাম, কিন্তু কিছুতেই শান্তি পাচ্ছি না। মনে হচ্ছে আজকের দিনটা শুধু বিষণ্ণতায় ভরে গেছে।",sad
"আজ কিছু পুরোনো কথা মনে পড়ল, মনটা খারাপ হয়ে গেল। আমি বুঝতে পারছি না কীভাবে কিছু ভালো কিছু আশা করা যায়।",sad
"আজকে সত্যিই অনেক রাগ উঠেছে, কেন সব কিছু ভুল হয়ে যাচ্ছে? আমি যতই চেষ্টা করি না কেন, কেউই বুঝতে চায় না। কিছুই ঠিকভাবে হচ্ছে না, আমি তো আর চুপ করে থাকতে পারব না।",angry
"আমি এখন আর কিছুই সহ্য করতে পারছি না, কেন সবাই আমার উপর চাপ দিচ্ছে? মনে হচ্ছে সবাই শুধু আমাকে ব্যবহার করতে চায়। এটা সত্যিই খুব অস্বস্তিকর, আমি আর কোনো কিছু সহ্য করতে পারছি না।",angry
"আজকে অনেক কিছুই দুঃখজনকভাবে ঘটে গেল, আর কেউ আমার কথা শুনতেই চায় না। একবারও কি কেউ আমার অবস্থান বুঝবে না? আমি সত্যিই খুব বিরক্ত, মনে হচ্ছে কেউই আমায় সম্মান দেয় না।",angry
"আমি সত্যিই রাগান্বিত, কেন সবাই কিছুটা সচেতন হতে চায় না? কি এমন সমস্যা আমার সাথে? আমি বুঝতে পারছি না কেন কেউ আমার পরিশ্রমকে গুরুত্ব দেয় না।",angry
"এতদিন পরেও কিছু বদলালো না, আর আমি আর সহ্য করতে পারছি না। আজকের দিনটা একদম মূর্খের মতো কাটল, আর কেউই আমাকে মূল্য দেয় না। কেন এমন হয়, আমি তো আর কিছুই করতে পারছি না।",angry
"এটা খুবই হতাশাজনক, আমি অনেক কিছু ভেবেছিলাম কিন্তু কিছুই পরিবর্তন হয়নি। সবার কাছে মনে হচ্ছে আমার কোন মূল্যই নেই। আজকের দিনটা শুধু এক ধরনের রাগ এবং অসন্তোষে ভরে গেছে।",angry
"সব কিছু যখন উল্টে যায়, আমি কেন জানি মনে করি, কেউ আমার কথা শুনবে না। সবাই শুধু নিজের মতো চলতে থাকে, কিন্তু আমি চাই না এটা আরও চালিয়ে যাক। আজকের দিনটা শুধু রাগে ভরপুর ছিল।",angry
"এটা একটা অস্বীকারযোগ্য পরিস্থিতি, আমি খুবই রেগে গেছি। কেন আমি সব সময় ভুল হতে থাকি, কিছুই তো ঠিক হচ্ছে না। মনে হচ্ছে কেউ আমার কথা বলতেও প্রস্তুত নয়।",angry
"এতটা অসহায় অনুভব করছি, আমি সত্যিই রেগে গেছি। কোনো কিছু তো কখনো সঠিকভাবে হয়নি, আর আমি শুধু ক্ষোভ অনুভব করছি। দিনটা খুবই খারাপ ছিল, আমার অসন্তোষ কিছুতেই শেষ হচ্ছে না।",angry
"এতদিন ধরে আমি ধৈর্য ধরেছি, কিন্তু আজ আমার patience ফুরিয়ে গেছে। কেন মানুষ সব সময় আমাকে অবজ্ঞা করে? আমি সত্যিই রেগে গেছি, কিছুতেই শান্তি পাচ্ছি না।",angry
"এটা খুবই বিরক্তিকর, আমি আর পারছি না। কেন সবাই আমাকে পাত্তা দেয় না? সব কিছু একে একে খারাপ হয়ে যাচ্ছে, আমি কী আর সহ্য করব? ",angry
"এতটা প্রতারণা কেন করা হচ্ছে, আমি তো শুধু সত্যিই চেয়েছিলাম? আমি শুধু দেখতে চেয়েছিলাম কিছু ভালো, কিন্তু আজ সেটা আর পাইনি। সবাই শুধু আমাকে বিপথে চালিত করছে।",angry
"এটা আর সহ্য করা যাচ্ছে না, আমি খুব রেগে গেছি। আমি কি আর কখনো শান্তি পাব? কেন সবার সামনে আমাকেই নীচু হতে হবে?",angry
"আজ আমার সমস্ত পরিশ্রম কোথায় গেল? একটুও সঠিক পথে তো কিছু হল না! আমি খুব রেগে আছি, কোনো কিছুই তো ঠিক হয়নি।",angry
"এই সমস্যাটা নিয়ে তো আর কোনো সমাধান আসবে না! মনে হচ্ছে আমার প্রতিটি প্রচেষ্টা ব্যর্থ হচ্ছে। আর আমি কখনোই কিছু পারব না, সব কিছুই এমনটাই।",angry
"এতো অসন্তোষ, আর কেন কেউ আমার কথাগুলি শোনে না? আমি কেন সব সময় ভুল বোঝানো হয়ে যাই? সবাই আমাকে প্যাঁকিয়ে ফেলেছে, আর আমি এই পরিস্থিতি থেকে বেরিয়ে আসতে পারছি না।",angry
"আজকে আর আমি ধৈর্য রাখতে পারছি না, সব কিছুই এমন চলছে! সবাই শুধু আমাকে চাপ দিচ্ছে, কিন্তু আমি সহ্য করতে পারছি না। আমি বলেছি, আমাকে এমন পরিস্থিতির মধ্যে ফেলো না!",angry
"সব কিছু তো বেইমানী হয়ে গেছে! আমি কোনো কাজে সফল হতে পারছি না, সবাই আমাকে ঠকাচ্ছে! সত্যিই আজকের দিনটা আমি ভুলে যেতে চাই।",angry
"আজ কোনো কিছুই আমাকে সঠিকভাবে করতে দেয়নি, আমার খুব রাগ হচ্ছে। সবাই কেমন যেন অযত্নে আমাকে দুর্বল মনে করছে। আমি আর এই অবস্থা সহ্য করতে পারি না।",angry
"এটা কেন এমন হয়, আমি কি এতটাই নীচু হয়ে গেছি? কেন আমি বারবার ভুলভাবে মূল্যায়িত হই? আজ আমি সত্যিই একদম রেগে গেছি।",angry
"আমি তো শুধু সঠিকভাবে কাজ করতে চেয়েছিলাম, কিন্তু সবাই আমাকে বাধা দিচ্ছে। আজকের দিনটা একদম ধৈর্যের সীমা পেরিয়ে গেছে, আমি তো আর আরাম পাচ্ছি না।",angry
"আমি সত্যিই বিরক্ত, আর কেউ যেন আমার পাশে নেই। সব কিছু ভেঙে পড়ছে, এবং কেউই বুঝতে চায় না। আজকে খুব রাগ অনুভব করছি, কিছুতেই শান্তি পাচ্ছি না।",angry
"এতো অবহেলা কেন? আমি তো আর অন্যভাবে কিছু চাচ্ছিলাম না! এখন কিছুই ঠিক হচ্ছে না, আর আমি কখনোই কোনো সমাধান পাইনি।",angry
"আজ আর আমি কোনো কিছু সহ্য করতে পারছি না, আমার ধৈর্য সব শেষ হয়ে গেছে। আমি যখন চাইছিলাম শান্তি, তখন সবাই আমাকে অশান্তিতে ফেলছে। আজকে শুধু রাগ আর রাগ!",angry
"এটা কেন হচ্ছে? আমি তো সত্যিই কিছু ভালো চাইছিলাম! কিন্তু সবাই আমাকে অবহেলা করছে, মনে হচ্ছে আমার মতামত মূল্যহীন।",angry
"এতো অস্থিরতা কেন? আমার অনেক ইচ্ছা ছিল, কিন্তু কেউ তা বুঝতে চায় না। আজকের দিনটা সত্যিই খারাপ, আমি কিছুই ভালো অনুভব করছি না।",angry
"আজ আর আমি কোনো কিছু সহ্য করতে পারছি না, এতদিন ধৈর্য ধরেছি, কিন্তু আর পারছি না। সব কিছু একে একে খারাপ হয়ে যাচ্ছে, আমি সত্যিই রেগে গেছি।",angry
"এটা কি সহ্য করা সম্ভব? আমি যখন কাজ করতে যাচ্ছিলাম, তখন কেউ আমার কাজ ব্যাহত করেছে! আমি সত্যিই অনেক রাগান্বিত।",angry
"আজকের দিনটা শুধু বিরক্তি আর অস্থিরতায় ভরপুর ছিল, আমি কিছুই ভালো করতে পারলাম না। সব কিছু ভেঙে পড়ছে, আমি কিছুতেই সহ্য করতে পারছি না।",angry
"এটা ঠিক হয়নি! কেউ আমার কাজের মূল্য দেয় না, আর আমি কিছুতেই শান্তি পাচ্ছি না। আজ আমি সত্যিই রেগে আছি, একদম।",angry
"আজকের দিনটা খুব বিরক্তিকর ছিল, একে একে সব কিছু খারাপ হয়ে গেল। আমি সত্যিই জানি না, আর আমি কীভাবে এভাবে সহ্য করতে পারব?",angry
"আজ আমার সমস্ত পরিকল্পনা একেবারে ধ্বংস হয়ে গেছে! কেন সব কিছু এমন হয়? আমি যে উদ্দেশ্য নিয়ে এগিয়েছিলাম, সেটা পুরোপুরি ভুল হয়ে গেল।",angry
"এটা আর কোনোভাবে সহ্য করা যাচ্ছে না, মনে হচ্ছে সবাই আমাকে শোষণ করছে। আমি কিছু করতে চাইছিলাম, কিন্তু সবাই আমাকে থামিয়ে দিয়েছে।",angry
"আজকের দিনটা একেবারে রাগে ভরপুর, কেন সবাই এত অবহেলা করছে? আমি যে কাজটা করতে চাই, সেটা কেউই বুঝতে চায় না।",angry
"এতদিন চেষ্টার পরও কেউ তো আমার কথা শোনে না, আজকের দিনটা বিরক্তির শেষ সীমায় পৌঁছে গেছে।",angry
"আজ আর কোনো কিছু সহ্য করতে পারছি না, সব কিছু উল্টে যাচ্ছে। আমি জানি না আমি আর কতটা সহ্য করব, সবাই শুধু আমাকে বাধা দেয়।",angry
"আজকের দিনটা একদম উন্মাদনা হয়ে গেছে, মনে হচ্ছে কিছুই সঠিকভাবে হচ্ছে না। আমি রেগে গেছি, কেউই বুঝতে চায় না।",angry
"এত অসহ্য পরিস্থিতি! আমার প্রাপ্য কিছুই আমি পাচ্ছি না, সবাই শুধু আমাকে বিপদে ফেলে দিচ্ছে।",angry
"আজ অনেক কিছু নষ্ট হয়ে গেল, আমি আর রেগে থাকতে পারছি না। সব কিছু একে একে ভেঙে যাচ্ছে, আমি শুধু হতাশ হচ্ছি।",angry
"আজকের দিনটা একেবারে উন্মাদনা, সব কিছু ভুল হয়ে যাচ্ছে। আমি সত্যিই রেগে আছি, কিছুতেই শান্তি পাচ্ছি না।",angry
"কেন সব কিছু ভুল হচ্ছে? আমি সত্যিই জানি না, কিছুই সঠিকভাবে হচ্ছে না। এই পরিস্থিতি সহ্য করা অসম্ভব।",angry
আমি আজ রাগের চূড়ান্তে পৌঁছে গেছি! কেন আমি সব সময় এমন সমস্যায় পড়ি? মনে হচ্ছে সব কিছু উল্টে যাচ্ছে।,angry
"আজ সত্যিই কষ্ট পাচ্ছি, কেন সবাই আমার কথা শুনতে চায় না? আমি তো শুধু সাহায্য চেয়েছিলাম, কিন্তু সবাই আমাকে অবহেলা করেছে।",angry
"আজ কোনো কিছুতেই মন বসানো যাচ্ছে না, খুব রাগ হচ্ছিল। কেন আমি সব সময় ভুল বোঝানো হয়?",angry
"এটা আর সহ্য করা যাচ্ছে না, আমি খুব রেগে গেছি! কেন কেউ আমার কথা শোনে না, সবাই শুধু নিজে নিজের কাজ নিয়ে ব্যস্ত।",angry
"আজ সত্যিই রেগে গেছি, কিছুই সঠিকভাবে কাজ করছে না। এই পরিস্থিতি একেবারে অসহনীয় হয়ে উঠেছে।",angry
"আজ থেকে আমি আর সহ্য করব না, আমি তো এখনই রেগে গেছি! কেন কেউ বুঝতে চায় না যে আমার কি প্রয়োজন?",angry
"আজকের দিনটা সত্যিই দারুণ, আমার সব কাজ সুন্দরভাবে হয়ে গেছে। আমি খুব খুশি, কারণ আমার পরিবারের সবাই ভালো আছে। এখন আমি আমার প্রিয় খাবার খেতে যাচ্ছি, মনে হচ্ছে আজকের দিনটা একেবারে সম্পূর্ণ। আমি সত্যিই আনন্দিত, যেন সব কিছুই সঠিকভাবে চলছে।",happy
"আজকের সকালে আমি সুন্দর সূর্যোদয় দেখলাম, আমার মন ভালো হয়ে গেল। সব কিছু একদম ভালো যাচ্ছে, আর আমি খুবই আনন্দিত। আমি আমার বন্ধুর সাথে এক জায়গায় বেড়াতে যাচ্ছি, আমি খুব উত্তেজিত। আজকের দিনটা একেবারে সেরা, আমি আনন্দিত।",happy
"আজকে আমি কিছু নতুন শখ শুরু করেছি, এবং মনে হচ্ছে এটা আমার জীবনে কিছু নতুন আনন্দ আনবে। আমি খুব খুশি, কারণ আমি নিজের কিছু সময় খুঁজে পেয়েছি। এখন আমি একটু বিশ্রাম নিব, আর তারপর বাইরে ঘুরতে যাব। এই মুহূর্তগুলো সত্যিই অসাধারণ, আমি খুব আনন্দিত।",happy
"আজ আমি একটি গুরুত্বপূর্ণ কাজ সম্পন্ন করেছি, এবং আমি খুব গর্বিত। আমার বন্ধুরা সবাই প্রশংসা করেছে, এটা আমাকে আরও খুশি করেছে। আমি খুব ভালো অনুভব করছি, মনে হচ্ছে সব কিছুই ঠিক হচ্ছে। আজকের দিনটা পুরোপুরি আমার, আমি আনন্দিত।",happy
"এখন আমি আমার পরিবারের সাথে একসাথে কিছু সময় কাটাচ্ছি, এবং খুব ভালো লাগছে। সবাই হাসিখুশি, আমার মন খুব শান্ত। আমি আজকে অনেক কিছু শিখেছি এবং অনেক কিছু অভিজ্ঞতা অর্জন করেছি। সত্যিই আজকের দিনটা ভালো ছিল, আমি খুশি।",happy
"আজ আমি আমার প্রিয় বইটি আবার পড়েছি, এটা আমাকে সত্যিই ভালো লাগছে। আমি আবার কিছু নতুন জ্ঞান অর্জন করেছি, যা আমাকে আরও সুখী করেছে। এখন আমি কিছু রিল্যাক্সিং মিউজিক শুনছি, যা আমাকে শান্তি দিচ্ছে। পুরোদিনটা সোজা ছিল, আমি খুব খুশি।",happy
"আজ আমি আমার সবচেয়ে ভালো বন্ধুদের সাথে অনেক সময় কাটিয়েছি, এবং আমরা অনেক হাসাহাসি করেছি। তাদের সাথে কাটানো সময়ের প্রতিটি মুহূর্তই অসাধারণ। আমি খুব আনন্দিত যে, আমি তাদের সাথে আছি। আজকের দিনটা সত্যিই খুব সুখী ছিল।",happy
"আজ আমি একটি নতুন প্রজেক্ট শুরু করেছি, এবং এটা খুব উত্তেজনাপূর্ণ মনে হচ্ছে। আমি সত্যিই গর্বিত, কারণ আমি কিছু নতুন শিখছি। এখন আমি আমার কাজটি সম্পন্ন করার জন্য আরও উত্সাহী। আজকের দিনটা দারুণ, আমি আনন্দিত।",happy
"আজ আমি বাইরে গিয়েছিলাম এবং প্রকৃতির সাথে সময় কাটিয়েছি, এটা খুব প্রশান্তিকর ছিল। আকাশে মেঘ ছিল, তবে সূর্যের আলো কিছুটা ছিল, যা আমাকে আরও ভালো অনুভব করিয়েছে। আমি সত্যিই আনন্দিত যে, এমন সুন্দর দিনটি কাটাতে পেরেছি। এটি ছিল সত্যিই এক ভালো দিন।",happy
"আজ আমি অনেক নতুন বন্ধু বানিয়েছি, এবং তাদের সাথে কথা বলে খুব ভালো লেগেছে। আমি খুব উত্তেজিত, কারণ আমি মনে করি আমাদের বন্ধুত্ব খুব দীর্ঘস্থায়ী হবে। তারা সবাই হাসিখুশি, এবং তাদের সাথে কাটানো সময় সত্যিই বিশেষ। আজকের দিনটা খুব ভালো গিয়েছে, আমি আনন্দিত।",happy
"আজ আমি কিছু খারাপ খবর শুনেছি, যা আমাকে খুব দুঃখিত করেছে। মনে হচ্ছে সব কিছু একেবারে ভেঙে যাচ্ছে, এবং আমি কিছু করতে পারছি না। আমি অনুভব করছি যে, আমার আশেপাশের সবাই কিছু না কিছু হারাচ্ছে। দিনটা খুবই দুঃখজনক ছিল, আমি একেবারে মন খারাপ অনুভব করছি।",sad
"আজ আমি একা অনুভব করছি, মনে হচ্ছে কেউ আমার পাশে নেই। আমি খুব হতাশ, কারণ আমার কিছু পরিকল্পনা ব্যর্থ হয়ে গেছে। আমি এতটুকু কিছু চাইছিলাম, কিন্তু তা আর পেলাম না। মনটা খুব ভারী হয়ে গেছে, সব কিছু যেন অন্ধকার হয়ে গেছে।",sad
"আজ আমার প্রিয় মানুষটি আমাকে কিছুটা দূরে চলে গিয়েছে, যা আমার হৃদয়কে চূর্ণ করেছে। আমি একাকীত্ব অনুভব করছি, মনে হচ্ছে কেউ আমাকে বোঝে না। সব কিছু ভুল হয়ে গেছে, এবং আমি কিছুই পরিবর্তন করতে পারছি না। আজকের দিনটা একেবারে দুঃখজনক ছিল।",sad
"আজকে আমি অনেক কিছু হারিয়েছি, এবং কিছুই ভালো লাগছে না। আমার স্বপ্নগুলো একে একে ভেঙে যাচ্ছে, এবং আমি কিছুতেই এগিয়ে যেতে পারছি না। আমি যা চেয়েছিলাম তা আর পাব না, আর কিছুই সঠিকভাবে হচ্ছে না। মনটা খুব ভারী, সব কিছু হারানোর মতো।",sad
"আজকে কিছু কষ্টের অভিজ্ঞতা হয়েছে, এবং আমি সত্যিই দুঃখিত। মনে হচ্ছে আমার সামনে কোনো ভাল সময় নেই, আর আমি অনেক একা অনুভব করছি। পৃথিবী যেন আমার জন্য অন্ধকার হয়ে গেছে, আর আমি কিছুই করতে পারছি না। দিনটা খুব হতাশাজনক ছিল, আমি কিছুই ভালো অনুভব করছি না।",sad
"আজকে আমার শরীর ভালো লাগছে না, এবং আমার মনও কিছুটা ভারী। আমি একেবারে একা অনুভব করছি, এবং আজকের দিনটা অতীতে চলে গেছে মনে হচ্ছে। সব কিছু ভুল হয়ে যাচ্ছে, আর আমি কিছুতেই শান্তি পাচ্ছি না। দিনটা একেবারে বিষণ্নতায় পূর্ণ ছিল।",sad
"আজ কিছু খুব দুঃখজনক ঘটনা ঘটেছে, এবং আমি খুব মুষড়ে পড়েছি। মনে হচ্ছে পৃথিবী আমাকে ত্যাগ করেছে, আর আমি একেবারে একাকী। সব কিছু হারিয়ে গেছে, আর আমি কিছুই বুঝতে পারছি না। আজকের দিনটা খুবই হতাশাজনক ছিল।",sad
"আজ আমি এক ধরনের শূন্যতা অনুভব করছি, মনে হচ্ছে কিছু একটা হারিয়ে গেছে। পৃথিবীকে আর আগের মতো ভালো লাগে না, আমি কিছুই করতে পারছি না। সব কিছু যেন আমার বিরুদ্ধে চলে যাচ্ছে, আর আমি কেবল দাঁড়িয়ে আছি।",sad
"আজ কিছু ভালো কিছু ঘটেনি, এবং আমি অনুভব করছি যে, আমি সঠিক পথ অনুসরণ করছি না। আমার মন খুবই ভারী, আর কিছুতেই শান্তি পাচ্ছি না। কিছু ভুল হয়েছে, আর আমি তার জন্য কিছুই করতে পারলাম না। আজকের দিনটা দুঃখজনক ছিল, আমি একেবারে মন খারাপ অনুভব করছি।",sad
"আজ আমি অনেক কিছু হারিয়েছি, আর কেউ আমার পাশে নেই। কিছু একটা ঠিকমতো হচ্ছিল না, আর আমি শুধু হতাশ হয়ে গেছি। আমার আশা প্রায় নিঃশেষ হয়ে গেছে, এবং আমি একেবারে মুষড়ে পড়েছি। দিনটা খুবই মন খারাপ করা ছিল।",sad
"আজকের দিনে আমি খুব রেগে গেছি, কারণ কেউ আমার কথা শোনে না। সবাই শুধু নিজেদের মতামত শুনাতে চায়, কিন্তু আমি কি কিছু বললেই হবে না? আমি খুবই অসন্তুষ্ট, মনে হচ্ছে কেউ আমার কাজের মূল্য দেয় না। আমার মন অস্থির, আর রাগ একেবারে মাথায় উঠে গেছে।",angry
"এটা একেবারে অস্বাভাবিক, কেন আমি সব সময় এমন অবহেলা পাই? আমি ঠিক মতো কিছু বললেই সবাই আমার উপর চড়াও হয়। আজ আমি খুব রেগে গেছি, কিছুতেই শান্তি পাচ্ছি না। সবাই কি বুঝতে পারে না যে, আমারও কিছু অনুভূতি আছে?",angry
"এটা আর সহ্য করা যাচ্ছে না, কেন সবাই আমাকে এত অবজ্ঞা করছে? আমি কি কখনো সত্যিই কিছুই করতে পারব না? সবাই শুধু আমার পিছনে কথা বলে, আর আমি যেন কিছুই করতে পারছি না। আজকের দিনটা একেবারে রাগের মধ্যে ভরা ছিল।",angry
