ID,Party,Statement,Source,Category
745,আওয়ামী লীগ,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,ফেসবুক,স্বাস্থ্য
746,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,ফেসবুক,পরিবেশ
747,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,জনকণ্ঠ,রাজনীতি
748,বিএনপি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,ফেসবুক,পরিবেশ
749,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,ফেসবুক,রাজনীতি
750,বিএনপি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,প্রথম আলো,পরিবেশ
751,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,স্বাস্থ্য
752,জামায়াত,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,ফেসবুক,রাজনীতি
753,জামায়াত,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,প্রথম আলো,রাজনীতি
754,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,প্রথম আলো,রাজনীতি
755,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,প্রথম আলো,পরিবেশ
756,জাতীয় পার্টি,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,জনকণ্ঠ,রাজনীতি
757,জামায়াত,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,সময় টিভি,রাজনীতি
758,জাতীয় পার্টি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,সময় টিভি,রাজনীতি
759,জাতীয় পার্টি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,সময় টিভি,রাজনীতি
760,বিএনপি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,জনকণ্ঠ,অর্থনীতি
761,জামায়াত,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,প্রথম আলো,অর্থনীতি
762,বিএনপি,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,প্রথম আলো,শিক্ষা
763,জামায়াত,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,ফেসবুক,শিক্ষা
764,আওয়ামী লীগ,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,ফেসবুক,অর্থনীতি
765,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,প্রথম আলো,শিক্ষা
766,জাতীয় পার্টি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,প্রথম আলো,অর্থনীতি
767,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,ফেসবুক,পরিবেশ
768,বিএনপি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,ফেসবুক,স্বাস্থ্য
769,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,সময় টিভি,পরিবেশ
770,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,শিক্ষা
771,জাতীয় পার্টি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,জনকণ্ঠ,স্বাস্থ্য
772,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,সময় টিভি,অর্থনীতি
773,আওয়ামী লীগ,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,ফেসবুক,অর্থনীতি
774,আওয়ামী লীগ,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,ফেসবুক,অর্থনীতি
775,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,ফেসবুক,পরিবেশ
776,আওয়ামী লীগ,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,জনকণ্ঠ,স্বাস্থ্য
777,জামায়াত,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,ফেসবুক,শিক্ষা
778,জাতীয় পার্টি,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,ফেসবুক,স্বাস্থ্য
779,আওয়ামী লীগ,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,জনকণ্ঠ,পরিবেশ
780,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,অর্থনীতি
781,বিএনপি,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,প্রথম আলো,পরিবেশ
782,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,সময় টিভি,শিক্ষা
783,বিএনপি,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,প্রথম আলো,অর্থনীতি
784,বিএনপি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,সময় টিভি,শিক্ষা
785,বিএনপি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,জনকণ্ঠ,রাজনীতি
786,আওয়ামী লীগ,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,পরিবেশ
787,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,প্রথম আলো,অর্থনীতি
788,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,সময় টিভি,পরিবেশ
789,আওয়ামী লীগ,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,প্রথম আলো,পরিবেশ
790,আওয়ামী লীগ,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,প্রথম আলো,রাজনীতি
791,জাতীয় পার্টি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,জনকণ্ঠ,শিক্ষা
792,আওয়ামী লীগ,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,সময় টিভি,স্বাস্থ্য
793,আওয়ামী লীগ,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,ফেসবুক,পরিবেশ
794,বিএনপি,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,জনকণ্ঠ,অর্থনীতি
795,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,সময় টিভি,শিক্ষা
796,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,ফেসবুক,শিক্ষা
797,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,সময় টিভি,পরিবেশ
798,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,প্রথম আলো,পরিবেশ
799,জামায়াত,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,প্রথম আলো,স্বাস্থ্য
800,বিএনপি,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,জনকণ্ঠ,রাজনীতি
801,বিএনপি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,জনকণ্ঠ,পরিবেশ
802,জাতীয় পার্টি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,জনকণ্ঠ,পরিবেশ
803,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,জনকণ্ঠ,স্বাস্থ্য
804,বিএনপি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,ফেসবুক,রাজনীতি
805,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,জনকণ্ঠ,পরিবেশ
806,জাতীয় পার্টি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,ফেসবুক,পরিবেশ
807,আওয়ামী লীগ,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,প্রথম আলো,অর্থনীতি
808,জামায়াত,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,প্রথম আলো,অর্থনীতি
809,জাতীয় পার্টি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,প্রথম আলো,পরিবেশ
810,জামায়াত,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,ফেসবুক,পরিবেশ
811,জাতীয় পার্টি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,প্রথম আলো,শিক্ষা
812,জামায়াত,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,প্রথম আলো,অর্থনীতি
813,জাতীয় পার্টি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,প্রথম আলো,রাজনীতি
814,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,ফেসবুক,অর্থনীতি
815,জামায়াত,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,সময় টিভি,রাজনীতি
816,জাতীয় পার্টি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,ফেসবুক,স্বাস্থ্য
817,বিএনপি,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,সময় টিভি,স্বাস্থ্য
818,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,ফেসবুক,অর্থনীতি
819,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,প্রথম আলো,পরিবেশ
820,জামায়াত,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,সময় টিভি,স্বাস্থ্য
821,জামায়াত,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,সময় টিভি,শিক্ষা
822,জাতীয় পার্টি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,সময় টিভি,পরিবেশ
823,জামায়াত,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,জনকণ্ঠ,স্বাস্থ্য
824,জামায়াত,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,ফেসবুক,শিক্ষা
825,জামায়াত,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,ফেসবুক,অর্থনীতি
826,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,প্রথম আলো,শিক্ষা
827,জাতীয় পার্টি,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,ফেসবুক,রাজনীতি
828,বিএনপি,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,প্রথম আলো,অর্থনীতি
829,জাতীয় পার্টি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,জনকণ্ঠ,স্বাস্থ্য
830,বিএনপি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,প্রথম আলো,পরিবেশ
831,জাতীয় পার্টি,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,ফেসবুক,শিক্ষা
832,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,সময় টিভি,অর্থনীতি
833,জামায়াত,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,ফেসবুক,অর্থনীতি
834,জামায়াত,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,ফেসবুক,রাজনীতি
835,বিএনপি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,জনকণ্ঠ,অর্থনীতি
836,বিএনপি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,জনকণ্ঠ,পরিবেশ
837,জামায়াত,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,জনকণ্ঠ,শিক্ষা
838,আওয়ামী লীগ,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,অর্থনীতি
839,আওয়ামী লীগ,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,সময় টিভি,পরিবেশ
840,জাতীয় পার্টি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,জনকণ্ঠ,স্বাস্থ্য
841,জাতীয় পার্টি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,জনকণ্ঠ,পরিবেশ
842,বিএনপি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,প্রথম আলো,পরিবেশ
843,জামায়াত,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,ফেসবুক,রাজনীতি
844,বিএনপি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,ফেসবুক,অর্থনীতি
845,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,প্রথম আলো,স্বাস্থ্য
846,জামায়াত,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,সময় টিভি,শিক্ষা
847,জামায়াত,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,প্রথম আলো,অর্থনীতি
848,জাতীয় পার্টি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,জনকণ্ঠ,অর্থনীতি
849,আওয়ামী লীগ,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,ফেসবুক,রাজনীতি
850,বিএনপি,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,সময় টিভি,স্বাস্থ্য
851,জামায়াত,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,প্রথম আলো,পরিবেশ
852,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,জনকণ্ঠ,রাজনীতি
853,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,প্রথম আলো,পরিবেশ
854,বিএনপি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,জনকণ্ঠ,অর্থনীতি
855,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,প্রথম আলো,অর্থনীতি
856,জামায়াত,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,সময় টিভি,শিক্ষা
857,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,জনকণ্ঠ,অর্থনীতি
858,জামায়াত,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,প্রথম আলো,স্বাস্থ্য
859,আওয়ামী লীগ,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,সময় টিভি,স্বাস্থ্য
860,বিএনপি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,সময় টিভি,অর্থনীতি
861,জাতীয় পার্টি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,ফেসবুক,স্বাস্থ্য
862,জাতীয় পার্টি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,জনকণ্ঠ,স্বাস্থ্য
863,আওয়ামী লীগ,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,সময় টিভি,রাজনীতি
864,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,সময় টিভি,শিক্ষা
865,বিএনপি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,প্রথম আলো,স্বাস্থ্য
866,বিএনপি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,ফেসবুক,স্বাস্থ্য
867,আওয়ামী লীগ,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,ফেসবুক,শিক্ষা
868,জামায়াত,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,ফেসবুক,পরিবেশ
869,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,ফেসবুক,রাজনীতি
870,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,স্বাস্থ্য
871,জামায়াত,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,সময় টিভি,পরিবেশ
872,জামায়াত,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,সময় টিভি,স্বাস্থ্য
873,জামায়াত,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,জনকণ্ঠ,অর্থনীতি
874,বিএনপি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,ফেসবুক,রাজনীতি
875,বিএনপি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,প্রথম আলো,পরিবেশ
876,আওয়ামী লীগ,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,জনকণ্ঠ,স্বাস্থ্য
877,জামায়াত,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,জনকণ্ঠ,অর্থনীতি
878,বিএনপি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,ফেসবুক,শিক্ষা
879,আওয়ামী লীগ,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,জনকণ্ঠ,অর্থনীতি
880,জাতীয় পার্টি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,ফেসবুক,স্বাস্থ্য
881,জাতীয় পার্টি,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,ফেসবুক,রাজনীতি
882,জাতীয় পার্টি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,প্রথম আলো,রাজনীতি
883,আওয়ামী লীগ,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,জনকণ্ঠ,শিক্ষা
884,জামায়াত,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,সময় টিভি,অর্থনীতি
885,জাতীয় পার্টি,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,সময় টিভি,শিক্ষা
886,জাতীয় পার্টি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,সময় টিভি,স্বাস্থ্য
887,জামায়াত,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,জনকণ্ঠ,শিক্ষা
888,জাতীয় পার্টি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,ফেসবুক,অর্থনীতি
889,জামায়াত,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,জনকণ্ঠ,শিক্ষা
890,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,প্রথম আলো,পরিবেশ
891,জাতীয় পার্টি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,জনকণ্ঠ,অর্থনীতি
892,জামায়াত,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,জনকণ্ঠ,শিক্ষা
893,জামায়াত,শিক্ষা ব্যবস্থা সংস্কারের জন্য বাজেট বৃদ্ধি প্রয়োজন।,ফেসবুক,স্বাস্থ্য
894,বিএনপি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,ফেসবুক,রাজনীতি
895,বিএনপি,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,ফেসবুক,অর্থনীতি
896,জাতীয় পার্টি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,প্রথম আলো,পরিবেশ
897,বিএনপি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,জনকণ্ঠ,শিক্ষা
898,জাতীয় পার্টি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,জনকণ্ঠ,পরিবেশ
899,জামায়াত,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,ফেসবুক,স্বাস্থ্য
900,বিএনপি,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,সময় টিভি,পরিবেশ
901,জাতীয় পার্টি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,প্রথম আলো,স্বাস্থ্য
902,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,সময় টিভি,রাজনীতি
903,বিএনপি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,সময় টিভি,শিক্ষা
904,জাতীয় পার্টি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,প্রথম আলো,পরিবেশ
905,বিএনপি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,প্রথম আলো,পরিবেশ
906,জাতীয় পার্টি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,সময় টিভি,স্বাস্থ্য
907,জাতীয় পার্টি,শিক্ষার্থীদের জন্য প্রযুক্তি প্রশিক্ষণ নিশ্চিত করা হবে।,প্রথম আলো,শিক্ষা
908,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,জনকণ্ঠ,স্বাস্থ্য
909,জাতীয় পার্টি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,জনকণ্ঠ,রাজনীতি
910,আওয়ামী লীগ,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,প্রথম আলো,অর্থনীতি
911,বিএনপি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,প্রথম আলো,শিক্ষা
912,বিএনপি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,ফেসবুক,শিক্ষা
913,বিএনপি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,জনকণ্ঠ,পরিবেশ
914,বিএনপি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,প্রথম আলো,শিক্ষা
915,আওয়ামী লীগ,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,জনকণ্ঠ,শিক্ষা
916,জামায়াত,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,সময় টিভি,স্বাস্থ্য
917,জাতীয় পার্টি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,জনকণ্ঠ,অর্থনীতি
918,জাতীয় পার্টি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,জনকণ্ঠ,শিক্ষা
919,জাতীয় পার্টি,স্বাস্থ্য খাতে দুর্নীতি রোধে কঠোর ব্যবস্থা নেওয়া হবে।,জনকণ্ঠ,অর্থনীতি
920,জাতীয় পার্টি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,ফেসবুক,স্বাস্থ্য
921,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,সময় টিভি,অর্থনীতি
922,জাতীয় পার্টি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,প্রথম আলো,স্বাস্থ্য
923,আওয়ামী লীগ,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,প্রথম আলো,শিক্ষা
924,বিএনপি,বর্তমান সরকারের নীতি দেশের অর্থনীতি ধ্বংস করছে।,জনকণ্ঠ,পরিবেশ
925,বিএনপি,প্রবাসী আয়ের প্রবাহ বাড়ানোর উদ্যোগ নেওয়া উচিত।,সময় টিভি,স্বাস্থ্য
926,জাতীয় পার্টি,পরিবেশ দূষণ রোধে নতুন আইন কার্যকর করতে হবে।,সময় টিভি,পরিবেশ
927,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,জনকণ্ঠ,রাজনীতি
928,আওয়ামী লীগ,বেকারত্ব দূর করতে সরকারের পরিকল্পনা অকার্যকর।,প্রথম আলো,শিক্ষা
929,আওয়ামী লীগ,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,ফেসবুক,স্বাস্থ্য
930,জামায়াত,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,ফেসবুক,পরিবেশ
931,বিএনপি,দেশের উন্নয়নে বড় ধরনের প্রকল্প হাতে নেওয়া হয়েছে।,প্রথম আলো,অর্থনীতি
932,জাতীয় পার্টি,বিরোধী দলের দাবিগুলো সম্পূর্ণ ভিত্তিহীন।,প্রথম আলো,অর্থনীতি
933,বিএনপি,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,ফেসবুক,পরিবেশ
934,আওয়ামী লীগ,দেশের মানুষের মৌলিক অধিকার সুরক্ষিত করার দাবি জানাই।,প্রথম আলো,শিক্ষা
